bench,variant,size,run,us,compressed_len,ret
bench_snappy_compress,mem0,1,0,37.991,3,0
bench_snappy_compress,mem0,1,1,32.272,3,0
bench_snappy_compress,mem0,1,2,32.110,3,0
bench_snappy_compress,mem0,1,3,32.364,3,0
bench_snappy_compress,mem0,1,4,31.573,3,0
bench_snappy_compress,mem0,2,0,34.180,4,0
bench_snappy_compress,mem0,2,1,32.144,4,0
bench_snappy_compress,mem0,2,2,31.351,4,0
bench_snappy_compress,mem0,2,3,31.253,4,0
bench_snappy_compress,mem0,2,4,31.096,4,0
bench_snappy_compress,mem0,4,0,30.720,6,0
bench_snappy_compress,mem0,4,1,31.433,6,0
bench_snappy_compress,mem0,4,2,30.680,6,0
bench_snappy_compress,mem0,4,3,30.586,6,0
bench_snappy_compress,mem0,4,4,30.756,6,0
bench_snappy_compress,mem0,8,0,30.335,10,0
bench_snappy_compress,mem0,8,1,31.100,10,0
bench_snappy_compress,mem0,8,2,30.639,10,0
bench_snappy_compress,mem0,8,3,30.932,10,0
bench_snappy_compress,mem0,8,4,32.775,10,0
bench_snappy_compress,mem0,16,0,31.061,18,0
bench_snappy_compress,mem0,16,1,30.946,18,0
bench_snappy_compress,mem0,16,2,30.866,18,0
bench_snappy_compress,mem0,16,3,30.722,18,0
bench_snappy_compress,mem0,16,4,30.697,18,0
bench_snappy_compress,mem0,32,0,31.758,34,0
bench_snappy_compress,mem0,32,1,31.009,34,0
bench_snappy_compress,mem0,32,2,31.076,34,0
bench_snappy_compress,mem0,32,3,31.243,34,0
bench_snappy_compress,mem0,32,4,31.414,34,0
bench_snappy_compress,mem0,64,0,32.004,67,0
bench_snappy_compress,mem0,64,1,31.046,67,0
bench_snappy_compress,mem0,64,2,31.202,67,0
bench_snappy_compress,mem0,64,3,31.513,67,0
bench_snappy_compress,mem0,64,4,32.070,67,0
bench_snappy_compress,mem0,128,0,34.288,132,0
bench_snappy_compress,mem0,128,1,33.229,132,0
bench_snappy_compress,mem0,128,2,33.083,132,0
bench_snappy_compress,mem0,128,3,33.483,132,0
bench_snappy_compress,mem0,128,4,33.129,132,0
bench_snappy_compress,mem0,256,0,34.127,260,0
bench_snappy_compress,mem0,256,1,33.872,260,0
bench_snappy_compress,mem0,256,2,33.432,260,0
bench_snappy_compress,mem0,256,3,33.689,260,0
bench_snappy_compress,mem0,256,4,34.815,260,0
bench_snappy_compress,mem0,512,0,37.421,274,0
bench_snappy_compress,mem0,512,1,35.063,274,0
bench_snappy_compress,mem0,512,2,35.102,274,0
bench_snappy_compress,mem0,512,3,34.981,274,0
bench_snappy_compress,mem0,512,4,34.850,274,0
bench_snappy_compress,mem0,1024,0,37.367,298,0
bench_snappy_compress,mem0,1024,1,37.314,298,0
bench_snappy_compress,mem0,1024,2,37.815,298,0
bench_snappy_compress,mem0,1024,3,37.070,298,0
bench_snappy_compress,mem0,1024,4,36.697,298,0
bench_snappy_compress,mem0,2048,0,41.805,346,0
bench_snappy_compress,mem0,2048,1,42.386,346,0
bench_snappy_compress,mem0,2048,2,42.302,346,0
bench_snappy_compress,mem0,2048,3,41.978,346,0
bench_snappy_compress,mem0,2048,4,42.338,346,0
bench_snappy_compress,mem0,4096,0,53.744,442,0
bench_snappy_compress,mem0,4096,1,52.091,442,0
bench_snappy_compress,mem0,4096,2,52.391,442,0
bench_snappy_compress,mem0,4096,3,52.358,442,0
bench_snappy_compress,mem0,4096,4,52.335,442,0
bench_snappy_compress,mem0,8192,0,70.888,634,0
bench_snappy_compress,mem0,8192,1,70.570,634,0
bench_snappy_compress,mem0,8192,2,69.757,634,0
bench_snappy_compress,mem0,8192,3,70.133,634,0
bench_snappy_compress,mem0,8192,4,70.362,634,0
bench_snappy_compress,mem0,16384,0,105.431,1019,0
bench_snappy_compress,mem0,16384,1,105.486,1019,0
bench_snappy_compress,mem0,16384,2,105.260,1019,0
bench_snappy_compress,mem0,16384,3,108.708,1019,0
bench_snappy_compress,mem0,16384,4,105.599,1019,0
bench_snappy_compress,mem0,32768,0,152.826,1787,0
bench_snappy_compress,mem0,32768,1,153.181,1787,0
bench_snappy_compress,mem0,32768,2,152.611,1787,0
bench_snappy_compress,mem0,32768,3,156.139,1787,0
bench_snappy_compress,mem0,32768,4,153.431,1787,0
bench_snappy_compress,mem0,65536,0,249.545,3323,0
bench_snappy_compress,mem0,65536,1,251.041,3323,0
bench_snappy_compress,mem0,65536,2,250.001,3323,0
bench_snappy_compress,mem0,65536,3,248.447,3323,0
bench_snappy_compress,mem0,65536,4,248.741,3323,0
bench_snappy_compress,mem0,131072,0,464.210,6643,0
bench_snappy_compress,mem0,131072,1,460.045,6643,0
bench_snappy_compress,mem0,131072,2,461.559,6643,0
bench_snappy_compress,mem0,131072,3,460.765,6643,0
bench_snappy_compress,mem0,131072,4,460.680,6643,0
bench_snappy_compress,mem0,262144,0,883.504,13283,0
bench_snappy_compress,mem0,262144,1,880.673,13283,0
bench_snappy_compress,mem0,262144,2,885.924,13283,0
bench_snappy_compress,mem0,262144,3,883.133,13283,0
bench_snappy_compress,mem0,262144,4,883.041,13283,0
bench_snappy_compress,mem0,524288,0,1731.224,26563,0
bench_snappy_compress,mem0,524288,1,1729.190,26563,0
bench_snappy_compress,mem0,524288,2,1728.420,26563,0
bench_snappy_compress,mem0,524288,3,1726.957,26563,0
bench_snappy_compress,mem0,524288,4,1730.347,26563,0
bench_snappy_compress,mem0,1048576,0,3422.604,53123,0
bench_snappy_compress,mem0,1048576,1,3429.554,53123,0
bench_snappy_compress,mem0,1048576,2,3421.437,53123,0
bench_snappy_compress,mem0,1048576,3,3418.010,53123,0
bench_snappy_compress,mem0,1048576,4,3418.461,53123,0
bench_snappy_compress,mem0,2097152,0,6803.861,106244,0
bench_snappy_compress,mem0,2097152,1,6809.566,106244,0
bench_snappy_compress,mem0,2097152,2,6765.076,106244,0
bench_snappy_compress,mem0,2097152,3,6534.432,106244,0
bench_snappy_compress,mem0,2097152,4,6536.743,106244,0
bench_snappy_compress,mem1,1,0,41.174,3,0
bench_snappy_compress,mem1,1,1,34.919,3,0
bench_snappy_compress,mem1,1,2,33.904,3,0
bench_snappy_compress,mem1,1,3,33.145,3,0
bench_snappy_compress,mem1,1,4,33.577,3,0
bench_snappy_compress,mem1,2,0,34.562,4,0
bench_snappy_compress,mem1,2,1,33.166,4,0
bench_snappy_compress,mem1,2,2,33.429,4,0
bench_snappy_compress,mem1,2,3,32.520,4,0
bench_snappy_compress,mem1,2,4,34.043,4,0
bench_snappy_compress,mem1,4,0,33.358,6,0
bench_snappy_compress,mem1,4,1,33.373,6,0
bench_snappy_compress,mem1,4,2,33.439,6,0
bench_snappy_compress,mem1,4,3,33.163,6,0
bench_snappy_compress,mem1,4,4,33.297,6,0
bench_snappy_compress,mem1,8,0,36.007,10,0
bench_snappy_compress,mem1,8,1,33.594,10,0
bench_snappy_compress,mem1,8,2,33.025,10,0
bench_snappy_compress,mem1,8,3,33.615,10,0
bench_snappy_compress,mem1,8,4,33.314,10,0
bench_snappy_compress,mem1,16,0,33.832,18,0
bench_snappy_compress,mem1,16,1,34.315,18,0
bench_snappy_compress,mem1,16,2,33.651,18,0
bench_snappy_compress,mem1,16,3,32.732,18,0
bench_snappy_compress,mem1,16,4,32.716,18,0
bench_snappy_compress,mem1,32,0,34.546,34,0
bench_snappy_compress,mem1,32,1,33.778,34,0
bench_snappy_compress,mem1,32,2,33.367,34,0
bench_snappy_compress,mem1,32,3,33.868,34,0
bench_snappy_compress,mem1,32,4,33.923,34,0
bench_snappy_compress,mem1,64,0,34.588,67,0
bench_snappy_compress,mem1,64,1,34.366,67,0
bench_snappy_compress,mem1,64,2,34.127,67,0
bench_snappy_compress,mem1,64,3,38.518,67,0
bench_snappy_compress,mem1,64,4,35.085,67,0
bench_snappy_compress,mem1,128,0,36.466,132,0
bench_snappy_compress,mem1,128,1,35.656,132,0
bench_snappy_compress,mem1,128,2,35.689,132,0
